S No,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome ,CoapplicantIncome ,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,Male,No,0,Not Graduate,No,492000,100000,700000,3,1,Rural,N
2,Male,Yes,0,Graduate,No,309000,300000,900000,9,1,Urban,Y
3,Male,No,3,Not Graduate,No,757000,400000,1000000,5,1,Rural,Y
4,Male,Yes,0,Not Graduate,No,372000,300000,1000000,8,1,Urban,Y
5,Female,No,0,Not Graduate,No,687000,200000,700000,7,1,Urban,Y
6,Male,Yes,0,Not Graduate,No,599000,100000,700000,4,1,Urban,Y
7,Female,No,2,Not Graduate,No,428000,100000,700000,6,1,Semi-Rural,Y
8,Male,No,3,Not Graduate,No,351000,0,1000000,5,1,#VALUE!,N
9,Female,No,3,Not Graduate,No,475000,300000,500000,3,1,Semi-Rural,Y
10,Male,Yes,0,Not Graduate,No,270000,400000,800000,6,1,#VALUE!,N
11,Female,No,3,Not Graduate,No,347000,300000,800000,7,1,Rural,Y
12,Male,No,1,Graduate,No,548000,200000,900000,9,1,Rural,Y
13,Female,Yes,3,Graduate,No,542000,400000,100000,10,1,Rural,Y
14,Female,No,0,Not Graduate,No,755000,0,900000,10,1,Rural,Y
15,Female,No,1,Graduate,No,270000,300000,1000000,3,0,Semi-Rural,N
16,Female,No,1,Graduate,No,440000,0,400000,9,1,Rural,Y
17,Female,Yes,1,Not Graduate,No,489000,0,700000,3,1,#VALUE!,N
18,Female,Yes,1,Not Graduate,No,634000,100000,700000,8,1,Semi-Rural,Y
19,Female,No,2,Graduate,No,983000,100000,200000,4,1,#VALUE!,Y
20,Male,No,3,Not Graduate,No,988000,500000,1000000,6,1,Semi-Rural,Y
21,Female,Yes,2,Not Graduate,Yes,747000,400000,300000,3,0,Semi-Rural,Y
22,Female,Yes,1,Not Graduate,No,729000,500000,1000000,4,1,Semi-Rural,Y
23,Male,Yes,0,Graduate,No,324000,200000,200000,10,1,Semi-Rural,Y
24,Female,Yes,0,Not Graduate,No,938000,0,500000,4,1,Semi-Rural,Y
25,Female,No,3,Not Graduate,No,738000,300000,400000,10,1,Semi-Rural,Y
26,Female,Yes,0,Graduate,No,473000,400000,900000,8,1,Rural,Y
27,Female,Yes,0,Not Graduate,Yes,421000,200000,800000,3,1,Rural,N
28,Male,No,1,Not Graduate,No,428000,400000,500000,5,1,Semi-Rural,Y
29,Male,Yes,2,Not Graduate,No,431000,100000,600000,9,0,Urban,Y
30,Male,Yes,1,Not Graduate,No,944000,400000,800000,8,1,Urban,Y
31,Female,Yes,2,Not Graduate,No,402000,300000,700000,3,1,Rural,N
32,Female,No,1,Not Graduate,No,292000,400000,700000,7,1,Semi-Rural,Y
33,Male,Yes,3,Graduate,Yes,507000,300000,100000,4,1,Urban,Y
34,Female,Yes,3,Graduate,No,841000,100000,100000,6,1,Urban,Y
35,Male,No,1,Graduate,Yes,374000,200000,600000,10,1,Rural,Y
36,Male,No,0,Graduate,No,672000,500000,500000,5,0,Rural,Y
37,Male,Yes,3,Not Graduate,No,976000,500000,700000,2,1,Urban,Y
38,Female,Yes,3,Graduate,Yes,443000,300000,700000,7,1,Urban,Y
39,Female,No,0,Graduate,No,754000,0,300000,10,1,Rural,Y
40,Female,Yes,2,Not Graduate,No,979000,400000,800000,8,1,Rural,Y
41,Female,No,2,Graduate,No,504000,500000,100000,7,1,Semi-Rural,Y
42,Female,No,1,Not Graduate,No,737000,500000,700000,4,1,Urban,Y
43,Male,No,0,Graduate,No,437000,300000,400000,4,1,Urban,Y
44,Male,No,2,Not Graduate,Yes,357000,300000,500000,7,1,Semi-Rural,Y
45,Female,No,1,Graduate,Yes,571000,200000,500000,10,1,Semi-Rural,Y
46,Male,No,0,Not Graduate,No,541000,0,800000,3,1,Semi-Rural,N
47,Male,Yes,0,Not Graduate,No,756000,0,600000,7,1,Semi-Rural,Y
48,Female,Yes,3,Not Graduate,No,313000,100000,600000,2,1,Urban,N
49,Female,No,1,Not Graduate,No,958000,300000,200000,3,1,Rural,Y
50,Male,No,0,Not Graduate,No,724000,300000,100000,6,1,Urban,Y
51,Male,No,3,Graduate,No,804000,300000,800000,8,1,Semi-Rural,Y
52,Female,No,2,Graduate,No,971000,300000,700000,5,1,Semi-Rural,Y
53,Female,Yes,1,Graduate,No,650000,200000,200000,7,1,Rural,Y
54,Female,No,0,Not Graduate,Yes,589000,500000,500000,4,1,Semi-Rural,Y
55,Female,No,2,Graduate,No,336000,400000,400000,10,1,Urban,Y
56,Female,Yes,2,Not Graduate,No,895000,100000,500000,8,1,Rural,Y
57,Male,Yes,2,Not Graduate,No,270000,400000,1000000,5,1,Urban,N
58,Male,No,0,Not Graduate,No,897000,0,300000,4,1,Semi-Rural,Y
59,Male,Yes,1,Not Graduate,No,552000,100000,500000,9,1,Urban,Y
60,Male,No,0,Graduate,No,709000,100000,500000,5,1,Semi-Rural,Y
61,Female,Yes,0,Not Graduate,No,678000,500000,900000,9,1,Semi-Rural,Y
62,Male,Yes,1,Not Graduate,No,660000,300000,800000,9,1,Urban,Y
63,Female,No,3,Graduate,No,725000,300000,500000,3,0,Rural,Y
64,Female,Yes,2,Not Graduate,No,650000,100000,400000,8,1,#VALUE!,Y
65,Male,Yes,2,Not Graduate,No,508000,100000,300000,9,1,Urban,Y
66,Female,No,1,Not Graduate,No,758000,400000,100000,3,1,Semi-Rural,Y
67,Female,No,0,Not Graduate,No,838000,300000,100000,2,1,Rural,Y
68,Female,No,1,Not Graduate,No,713000,500000,100000,9,1,Urban,Y
69,Male,No,1,Not Graduate,No,463000,500000,100000,10,1,Rural,Y
70,Female,No,2,Graduate,Yes,602000,300000,400000,6,1,Rural,Y
71,Female,Yes,0,Not Graduate,Yes,320000,400000,100000,5,0,Urban,Y
72,Male,No,2,Graduate,No,662000,300000,400000,3,1,Urban,Y
73,Female,Yes,3,Not Graduate,No,778000,300000,800000,10,1,Urban,Y
74,Male,Yes,3,Graduate,No,649000,400000,1000000,2,1,Rural,N
75,Female,No,0,Not Graduate,No,323000,200000,400000,9,1,Urban,Y
76,Male,Yes,0,Not Graduate,Yes,424000,100000,1000000,6,1,Semi-Rural,Y
77,Male,Yes,1,Not Graduate,No,398000,500000,200000,3,1,Rural,Y
78,Male,No,0,Graduate,No,765000,300000,500000,4,1,Semi-Rural,Y
79,Female,No,1,Not Graduate,No,842000,500000,100000,7,1,Urban,Y
80,Female,No,2,Not Graduate,Yes,390000,400000,100000,3,1,Urban,Y
81,Male,No,0,Graduate,No,933000,0,500000,3,1,Urban,Y
82,Female,No,3,Graduate,No,257000,300000,300000,6,1,Semi-Rural,Y
83,Male,Yes,2,Not Graduate,No,305000,100000,100000,2,1,#VALUE!,Y
84,Male,Yes,3,Graduate,No,573000,100000,800000,8,1,#VALUE!,Y
85,Male,Yes,1,Graduate,No,372000,200000,100000,4,0,Rural,Y
86,Female,Yes,1,Not Graduate,No,854000,400000,600000,9,1,Semi-Rural,Y
87,Female,Yes,2,Graduate,No,648000,300000,900000,7,1,Semi-Rural,Y
88,Female,Yes,2,Graduate,No,385000,500000,600000,3,1,Rural,N
89,Female,No,1,Graduate,No,681000,100000,700000,4,0,Urban,Y
90,Male,No,0,Graduate,No,356000,100000,1000000,5,1,Rural,N
91,Male,No,1,Graduate,No,821000,500000,100000,4,1,#VALUE!,Y
92,Female,Yes,1,Graduate,No,814000,400000,800000,3,1,Urban,Y
93,Male,No,0,Graduate,No,471000,100000,300000,2,1,Rural,Y
94,Female,Yes,2,Not Graduate,No,790000,200000,200000,6,1,Urban,Y
95,Female,No,1,Not Graduate,No,973000,100000,400000,8,1,Rural,Y
96,Male,No,2,Not Graduate,No,359000,0,700000,5,1,Rural,Y
97,Male,No,3,Not Graduate,No,545000,400000,400000,2,1,Semi-Rural,Y
98,Female,No,2,Graduate,No,427000,300000,800000,7,1,Urban,Y
99,Female,Yes,1,Graduate,No,624000,100000,100000,6,1,Semi-Rural,Y
100,Male,Yes,2,Graduate,No,677000,100000,600000,3,1,Semi-Rural,Y
101,Male,Yes,0,Graduate,No,652000,100000,900000,4,1,Rural,Y
102,Female,No,3,Graduate,No,442000,200000,500000,3,1,Rural,Y
103,Male,No,1,Not Graduate,No,854000,400000,1000000,2,1,#VALUE!,N
104,Male,Yes,0,Not Graduate,No,277000,300000,500000,8,1,Urban,Y
105,Female,Yes,3,Graduate,No,809000,100000,600000,4,1,Urban,Y
106,Female,No,3,Graduate,No,884000,400000,400000,9,1,Urban,Y
107,Male,Yes,0,Not Graduate,No,939000,400000,300000,9,1,Urban,Y
108,Female,No,1,Not Graduate,No,903000,200000,400000,9,1,Semi-Rural,Y
109,Male,Yes,3,Graduate,No,381000,200000,900000,3,1,Urban,N
110,Female,No,3,Graduate,No,906000,300000,200000,5,1,Semi-Rural,Y
111,Male,Yes,2,Graduate,No,255000,200000,300000,9,1,Rural,Y
112,Male,Yes,0,Not Graduate,No,926000,200000,700000,8,1,Rural,Y
113,Male,No,2,Graduate,No,993000,200000,100000,10,1,Rural,Y
114,Female,Yes,0,Graduate,No,541000,100000,300000,7,1,Urban,Y
115,Male,Yes,0,Not Graduate,No,714000,500000,600000,5,1,Urban,Y
116,Male,Yes,3,Not Graduate,No,547000,400000,300000,7,1,Urban,Y
117,Male,Yes,3,Not Graduate,No,957000,100000,1000000,7,1,Semi-Rural,Y
118,Male,Yes,1,Graduate,Yes,337000,300000,500000,2,1,Rural,N
119,Female,No,3,Graduate,No,817000,500000,1000000,4,1,Semi-Rural,Y
120,Female,No,2,Graduate,No,970000,500000,900000,8,1,#VALUE!,Y
121,Male,Yes,2,Not Graduate,No,780000,400000,900000,4,1,Semi-Rural,Y
122,Male,Yes,3,Graduate,No,395000,200000,200000,5,1,Rural,Y
123,Female,Yes,3,Not Graduate,No,791000,300000,300000,4,1,Rural,Y
124,Male,No,0,Not Graduate,No,744000,300000,700000,9,1,Rural,Y
125,Female,Yes,3,Not Graduate,No,528000,200000,500000,10,1,Urban,Y
126,Female,Yes,0,Not Graduate,No,595000,200000,1000000,9,1,#VALUE!,Y
127,Male,No,0,Not Graduate,No,897000,400000,100000,5,1,Urban,Y
128,Male,No,0,Graduate,No,356000,300000,500000,7,1,Semi-Rural,Y
129,Female,Yes,2,Graduate,No,251000,0,400000,9,1,Rural,Y
130,Male,Yes,1,Graduate,No,484000,200000,900000,8,1,Rural,Y
131,Female,No,1,Graduate,No,904000,100000,500000,9,1,Urban,Y
132,Female,No,1,Not Graduate,No,420000,400000,100000,2,1,Semi-Rural,Y
133,Female,Yes,2,Graduate,No,555000,100000,200000,6,1,Urban,Y
134,Female,Yes,3,Graduate,No,279000,100000,400000,9,1,Semi-Rural,Y
135,Male,Yes,3,Graduate,No,819000,300000,200000,7,1,Rural,Y
136,Female,No,2,Graduate,No,465000,300000,400000,10,1,#VALUE!,Y
137,Female,Yes,0,Graduate,Yes,973000,400000,700000,3,1,Urban,Y
138,Female,No,1,Not Graduate,No,403000,200000,400000,7,1,Urban,Y
139,Male,Yes,2,Graduate,No,898000,0,800000,6,1,Rural,Y
140,Female,No,1,Graduate,No,753000,200000,100000,2,1,Urban,Y
141,Male,No,3,Not Graduate,No,843000,200000,100000,10,1,Semi-Rural,Y
142,Female,Yes,1,Graduate,No,868000,200000,700000,10,1,Rural,Y
143,Male,No,3,Graduate,No,462000,400000,800000,9,1,Rural,Y
144,Female,Yes,0,Graduate,No,936000,400000,700000,3,1,Rural,Y
145,Female,Yes,2,Not Graduate,No,336000,300000,300000,8,1,Semi-Rural,Y
146,Female,No,0,Graduate,No,464000,300000,200000,10,1,Urban,Y
147,Male,Yes,1,Not Graduate,No,855000,500000,1000000,2,1,Urban,N
148,Male,No,3,Not Graduate,Yes,733000,100000,400000,8,1,Rural,Y
149,Male,Yes,1,Not Graduate,No,351000,400000,200000,9,1,Urban,Y
150,Female,No,3,Not Graduate,Yes,717000,400000,700000,3,1,Urban,Y
151,Male,Yes,3,Graduate,No,393000,0,700000,3,1,Semi-Rural,N
152,Female,Yes,2,Graduate,No,869000,200000,700000,7,1,Urban,Y
153,Male,Yes,0,Not Graduate,No,791000,0,800000,6,1,Rural,Y
154,Female,No,0,Not Graduate,No,547000,200000,600000,10,1,Semi-Rural,Y
155,Female,Yes,1,Graduate,No,975000,400000,200000,7,1,Urban,Y
156,Male,Yes,2,Not Graduate,Yes,369000,100000,100000,8,1,#VALUE!,Y
157,Male,No,1,Not Graduate,No,520000,300000,1000000,8,1,Urban,Y
158,Female,Yes,1,Not Graduate,No,605000,100000,500000,2,1,Urban,N
159,Male,No,3,Not Graduate,No,889000,200000,300000,9,0,Semi-Rural,Y
160,Male,Yes,2,Graduate,Yes,751000,500000,300000,4,1,Rural,Y
161,Female,No,0,Graduate,No,779000,100000,500000,6,1,Urban,Y
162,Male,No,0,Graduate,No,708000,400000,600000,7,1,Semi-Rural,Y
163,Male,No,2,Graduate,No,357000,400000,700000,10,1,Urban,Y
164,Male,No,1,Not Graduate,No,488000,300000,1000000,7,1,Rural,Y
165,Male,No,0,Not Graduate,No,431000,500000,1000000,6,1,Urban,Y
166,Female,Yes,1,Graduate,No,540000,0,900000,10,1,Rural,Y
167,Female,No,1,Graduate,No,940000,400000,400000,2,1,Rural,Y
168,Male,Yes,1,Not Graduate,No,383000,200000,700000,3,1,Urban,N
169,Male,No,0,Graduate,No,328000,400000,700000,10,1,Rural,Y
170,Male,Yes,3,Graduate,No,495000,400000,900000,6,1,Semi-Rural,Y
171,Male,Yes,3,Graduate,No,596000,100000,700000,8,1,Semi-Rural,Y
172,Female,No,3,Not Graduate,No,504000,300000,1000000,6,1,Urban,Y
173,Male,No,0,Not Graduate,No,795000,100000,800000,6,0,Semi-Rural,Y
174,Male,No,3,Not Graduate,No,530000,400000,1000000,3,1,Urban,N
175,Male,Yes,3,Graduate,No,509000,300000,300000,3,0,Urban,Y
176,Male,No,1,Not Graduate,No,791000,300000,300000,9,1,Urban,Y
177,Female,No,1,Graduate,No,463000,400000,200000,5,0,Urban,Y
178,Female,No,0,Graduate,No,990000,100000,800000,4,1,Rural,Y
179,Male,No,2,Not Graduate,No,398000,400000,200000,8,1,Rural,Y
180,Female,No,1,Not Graduate,No,751000,200000,900000,5,1,Urban,Y
181,Male,Yes,0,Not Graduate,No,652000,100000,1000000,5,1,Semi-Rural,Y
182,Male,Yes,1,Not Graduate,No,794000,100000,800000,5,1,Rural,Y
183,Female,Yes,1,Not Graduate,No,955000,100000,900000,2,1,Urban,N
184,Male,No,2,Graduate,No,760000,200000,800000,3,1,Rural,Y
185,Female,No,2,Graduate,No,638000,0,100000,7,1,Urban,Y
186,Female,No,1,Not Graduate,No,394000,400000,200000,5,1,#VALUE!,Y
187,Female,Yes,3,Not Graduate,No,256000,400000,400000,5,1,Urban,Y
188,Female,Yes,0,Not Graduate,No,822000,400000,200000,5,1,Rural,Y
189,Female,No,2,Not Graduate,No,488000,400000,400000,6,1,#VALUE!,Y
190,Male,No,3,Not Graduate,Yes,297000,200000,800000,10,1,Rural,Y
191,Female,No,3,Graduate,No,854000,200000,600000,10,1,Semi-Rural,Y
192,Male,Yes,2,Not Graduate,No,475000,200000,600000,6,1,Rural,Y
193,Female,No,1,Not Graduate,No,312000,100000,900000,4,1,Rural,N
194,Female,Yes,1,Not Graduate,No,516000,200000,600000,5,1,Rural,Y
195,Male,Yes,3,Graduate,No,844000,200000,900000,6,1,Rural,Y
196,Female,No,1,Graduate,Yes,802000,400000,800000,9,1,#VALUE!,Y
197,Female,No,1,Not Graduate,Yes,747000,200000,300000,6,1,Rural,Y
198,Male,Yes,2,Not Graduate,No,881000,500000,300000,8,1,Urban,Y
199,Female,Yes,0,Graduate,No,1000000,300000,700000,6,1,Rural,Y
200,Female,Yes,2,Graduate,No,339000,400000,600000,2,1,Urban,N
201,Female,No,3,Graduate,No,335000,400000,800000,10,1,#VALUE!,Y
202,Female,Yes,0,Not Graduate,No,383000,200000,700000,4,1,Rural,N
203,Female,Yes,1,Graduate,No,573000,100000,700000,9,1,Urban,Y
204,Female,Yes,2,Graduate,Yes,811000,200000,800000,5,1,Rural,Y
205,Male,No,0,Not Graduate,Yes,945000,300000,600000,6,0,Semi-Rural,Y
206,Male,No,1,Graduate,No,619000,200000,600000,5,1,Urban,Y
207,Male,No,2,Graduate,No,845000,500000,600000,4,1,Semi-Rural,Y
208,Male,No,2,Graduate,No,755000,200000,600000,8,1,#VALUE!,Y
209,Female,Yes,0,Not Graduate,No,682000,100000,700000,2,1,Rural,N
210,Male,Yes,1,Not Graduate,No,836000,500000,700000,10,1,Rural,Y
211,Female,No,2,Not Graduate,No,698000,200000,800000,3,1,Urban,Y
212,Male,No,1,Graduate,Yes,299000,400000,400000,7,0,Rural,Y
213,Male,No,0,Not Graduate,No,770000,100000,100000,10,1,Urban,Y
214,Male,Yes,3,Not Graduate,No,676000,100000,700000,10,1,Rural,Y
215,Female,No,0,Graduate,No,801000,200000,200000,5,1,Rural,Y
216,Male,Yes,1,Graduate,No,937000,100000,800000,3,1,Semi-Rural,Y
217,Female,No,3,Graduate,No,495000,300000,600000,3,1,Urban,N
218,Female,Yes,1,Not Graduate,No,421000,400000,700000,10,0,Rural,Y
219,Female,Yes,2,Not Graduate,No,915000,400000,900000,9,1,Urban,Y
220,Male,Yes,3,Graduate,No,839000,500000,900000,5,1,Rural,Y
221,Male,No,2,Graduate,No,773000,100000,500000,10,1,Semi-Rural,Y
222,Female,Yes,3,Graduate,No,726000,100000,900000,8,1,Urban,Y
223,Female,No,3,Graduate,No,930000,400000,300000,8,1,Rural,Y
224,Female,Yes,0,Graduate,Yes,949000,400000,700000,2,1,#VALUE!,Y
225,Male,No,2,Graduate,No,645000,300000,200000,4,1,Rural,Y
226,Female,No,0,Graduate,No,434000,100000,900000,5,1,Urban,N
227,Female,No,3,Not Graduate,No,325000,300000,800000,4,1,Urban,N
228,Male,No,0,Graduate,No,270000,300000,900000,5,1,Semi-Rural,N
229,Female,No,3,Not Graduate,No,818000,400000,800000,7,1,Semi-Rural,Y
230,Female,Yes,2,Not Graduate,No,612000,300000,900000,9,1,Urban,Y
231,Male,Yes,1,Not Graduate,No,594000,100000,100000,2,1,Semi-Rural,Y
232,Male,No,3,Graduate,No,443000,400000,400000,8,1,Rural,Y
233,Female,No,1,Graduate,No,808000,100000,1000000,10,1,Semi-Rural,Y
234,Male,No,2,Not Graduate,No,804000,300000,500000,10,1,Rural,Y
235,Male,Yes,2,Not Graduate,No,873000,0,300000,8,1,Semi-Rural,Y
236,Male,Yes,3,Graduate,No,691000,400000,100000,7,1,Semi-Rural,Y
237,Female,Yes,0,Not Graduate,No,390000,200000,500000,10,1,Semi-Rural,Y
238,Female,Yes,2,Graduate,No,433000,0,100000,4,1,Urban,Y
239,Male,Yes,2,Not Graduate,No,706000,500000,400000,8,1,Urban,Y
240,Male,Yes,3,Graduate,No,776000,200000,100000,9,1,Rural,Y
241,Female,Yes,0,Not Graduate,No,982000,200000,200000,8,1,Rural,Y
242,Male,No,0,Not Graduate,No,957000,200000,200000,2,1,Semi-Rural,Y
243,Male,No,2,Graduate,No,387000,500000,500000,5,0,Rural,Y
244,Female,Yes,2,Not Graduate,No,341000,100000,900000,8,1,Rural,Y
245,Male,Yes,3,Graduate,Yes,931000,200000,600000,6,1,Semi-Rural,Y
246,Female,No,1,Graduate,Yes,869000,200000,500000,4,1,Semi-Rural,Y
247,Female,No,3,Graduate,No,424000,400000,200000,2,1,Rural,Y
248,Female,Yes,1,Not Graduate,No,827000,400000,300000,8,1,Rural,Y
249,Male,No,0,Not Graduate,No,891000,0,200000,4,1,Semi-Rural,Y
250,Male,No,0,Not Graduate,Yes,538000,100000,500000,8,1,Semi-Rural,Y
251,Female,No,0,Graduate,No,836000,200000,300000,9,1,Urban,Y
252,Male,Yes,1,Graduate,No,670000,100000,400000,2,1,Urban,Y
253,Male,Yes,0,Graduate,No,579000,400000,300000,7,1,Semi-Rural,Y
254,Male,Yes,1,Not Graduate,No,733000,500000,1000000,9,1,Urban,Y
